id,combined_cleaned
114,누구나 가능한 꿀알바월일보험스쿨보험설계사하루단기 부산 동구 초량동 금융보험카드 일반기술영업 사무기획관리홍보 탐구형
115,양념육 생산직 모집 토요일 오전근무월회 휴무 부산 수영구 무학로 농수산물 가공식품 제조 현실형
116,누구나 가능한 꿀알바월일보험스쿨보험설계사하루단기 부산 동구 초량동 금융보험카드 일반기술영업 사무기획관리홍보 탐구형
117,간단한 서빙셋팅정리 하실분 모집일만원이상중장년 주부가능 부산 강서구 명지동 서빙포장 청소미화방역 상조웨딩연회 현실형
118,우장군에서 주방보조로 일할 분을 모십니다 부산 부산진구 서면문화로번길 주방주방보조설거지 현실형
119,추석연휴 및 주말 송도광안 암남동 유료주차장 직원 채용합니다 부산 서구 암남동 주차관리주차도우미 현실형
120,호텔 구내식당 조리사 직원 모집 부산 해운대구 전지역 주방주방보조설거지 주방장조리사 현실형
121,추석 일 단기 알바모집합니다 부산 강서구 명지동 주방주방보조설거지 현실형
122,윤금노인요양원 조리원구인공고 부산 사상구 가야대로 주방장조리사 현실형
123,오픈매월만원 보장교육비만원지급면접선물순수내근직 부산 사하구 하단동 인바운드 아웃바운드 금융보험카드 현실형
124,신입만원교육비만원면접선물경력우대 부산 부산진구 범천동 인바운드 아웃바운드 금융보험카드 탐구형
125,전단지 영업 건별 만원 주부 미성년자 가능 무자본 부산 전지역 전지역 서비스 기타 사무기획관리홍보 컴퓨터디자인 탐구형
126,큰집돼지국밥 대연점 주간 홀 야간 주방 직원 주간 해장국 제조 모집공고 부산 남구 대연동 요리서빙 기타 서빙포장 주방주방보조설거지 현실형
127,근무지녹산공단송정리 남녀 생산직정규직 사원 모집합니다 부산 강서구 녹산동 생산제조조립인쇄 포장검사 현실형
128,시시 재택가능교육비만신입만경력업적무관만 부산 동래구 명륜동 인바운드 아웃바운드 금융보험카드 탐구형
129,경동택배사하장림에서 배달기사님모십니다출퇴근차량 지원합니다 부산 사하구 전지역 택배물류 배송이사 배달퀵이륜차 현실형
130,야간 편의점 식품 조리부 생산사원모집레시피 및 반자동화경력무관 부산 북구 전지역 주방주방보조설거지 생산제조조립인쇄 포장검사 현실형
131,당일지급활발하고 적극적이신 분 지원하세요바퀴벌레퇴치 영업팀 모집합니다 부산 동래구 충렬대로번길 서비스 기타 청소미화방역 현실형
132,당일지급부산 방역업체를 키워 나가실 분만 지원하세요당일지급 가능합니다 부산 동래구 충렬대로번길 서비스 기타 청소미화방역 현실형
133,당일지급하나방역에서 하방맨기를 모집합니다당일지급선착순명 부산 동래구 충렬대로번길 서비스 기타 청소미화방역 현실형
134,당일지급유명한 하나방역에서 영업직원을 채용합니다활발하신 분 환영합니다 부산 동래구 충렬대로번길 서비스 기타 청소미화방역 현실형
135,당일지급하나방역 본사에서 영업에 자신 있어신 분을 모집합니다 부산 동래구 충렬대로번길 서비스 기타 청소미화방역 현실형
136,파트타임 신입경력 상담원 모집 부산 부산진구 부전동 인바운드 아웃바운드 금융보험카드 탐구형
137,같이 할 하방맨기 모집하나방역에서 바퀴벌레 전문영업팀을 모집합니다당일 부산 동래구 충렬대로번길 서비스 기타 청소미화방역 현실형
138,같이 할 하방맨기 모집하나방역에서 하방맨기를 모집합니다일만이상활발하신 분 지원 부산 동래구 충렬대로번길 서비스 기타 청소미화방역 사회형
139,같이 할 하방맨기 모집하나방역에서 하방맨기를 모집합니다방역회사 같이 키워갈 전문영업 부산 동래구 충렬대로번길 서비스 기타 청소미화방역 탐구형
