id,combined_cleaned
114,모집 취업연계형 룸메이드 직종교육 세대 재취업지원사업 현실형 부산광역시 장노년일자리지원센터
115,건설현장 비계 양성 교육참여자 모집 기간연장 현실형 부산광역시 부산진구청
116,센터내사진관 예술형 부산경제진흥원
117,교육부산중장년내일센터 월 프로그램 교육생모집 오프라인 교육은 선착순 조기마감 될수 있습니다 사회형 노사발전재단
118,심리안정 힐링특강 사회형 부산경제진흥원
119,교육 자율주행자동차 데이터 레이블러 교육 수강생 모집 진취형 부산광역시 북구청
120,수영구청 년 하반기 산모ㆍ신생아 건강관리사 양성과정 사회형 부산광역시 수영구청
121,통합 실버케어전문가 양성과정 사회형 사상여성인력개발센터
122,센터내사진관 매월  번째 수요일 서부산 기계부품산업 일자리센터를 방문하면 증명사진 촬영이 무료  기 간     번째 수요일 시  대 상 서부산 일자리센터 방문 구직자 회당 명 내외 선착순 촬영  운영방법 사진촬영 후 당일 보정 출력장 가능 합니다 각 회차별 적정 인원 선착순 마감되므로 예약 후 참여를 추천 드립니다 프로그램 참여 시 대기시간 발생할 수 있습니다  참여방법 방문접수 서부산 기계부품산업 일자리센터 사하구 낙동남로  정우헤리티지빌딩 층 전화접수 예술형 부산경제진흥원
123,헬스케어 서비스 전문가 양성과정 기 모집 사회형 부산광역시 수영구청
124,건설현장 비계 양성 교육 현실형 부산광역시 부산진구청
125,중장년 인생 모작 설계 준비 지원 교육 참여자 모집 사회형 부산광역시 동래구청
126,부산일자리종합센터 구직자 취업의욕 고취교육차 사회형 부산경제진흥원
127,교육 부산중장년내일센터 월 프로그램 교육생 모집 사회형 노사발전재단
128,특수고용직 일자리 지원 프로그램_주생각대로 현실형 부산경제진흥원
129,모집 취업연계형 가사관리 전문인력 양성 직종교육 세대 재취업지원사업 현실형 부산광역시 장노년일자리지원센터
130,부산일자리종합센터 컨설팅데이 사회형 부산경제진흥원
131,교육 부산중장년내일센터 월 프로그램 교육생 모집 사회형 노사발전재단
132,수영구청 창업특강 내 식당의 멘토 외식창업 필승전략    내 식당의 멘토    가 외식창업 필승전략   실패를 줄일 수 있는 전략적인 창업 아이템 설정 방법현직자와 함께 정보 공유하여 경쟁력 있는 장업 노하우 제공 교육기간 년 월 일 월 일 화 시 시 총 시간 교육대상수영구민 예비창업자 명 관내 수영구 창업자 년이내 신청방법수영구 일자리종합센터 방문접수 신분증필수 또는 네이버폼 온라인 접수 워크넷 구직등록필수   원주희 탐구형 부산광역시 수영구청
133,교육  해운대구 재능일자리 장애인활동지원사 교육생 모집 사회형 부산광역시 해운대구청
134,부산일자리종합센터 구직자 취업의욕 고취교육차 사회형 부산경제진흥원
135,모집 취업연계형 가사관리 전문인력 양성 직종교육 세대 재취업지원사업 현실형 부산광역시 장노년일자리지원센터
136,교육 자율주행자동차 데이테 레이블러 교육 수강생 모집 진취형 부산광역시 북구청
137,년 월동네방네 노무상담 무료 상담실 운영안내 사회형 부산광역시 해운대구청
138,교육  해운대구 객실관리사 양성과정 교육 사회형 부산광역시 해운대구청
139,교육 디지털 패턴 및 봉제기술 교육생 모집 공고 진취형 부산광역시 금정구청
140,지원사업 심리안정 프로그램 사회형 부산경제진흥원
141,부산중장년내일센터 월 프로그램 교육생 모집 사회형 노사발전재단
142,부산형 조선기자재업 내일채움공제 사업 참여 근로자 모집 _ 탐구형 부산상공회의소
143, 부산 공공기관 합동 채용설명회 사회형 부산광역시
144,부산일자리종합센터 취업의욕 고취교육 차 교육 신청 마감 사회형 부산경제진흥원
145, 부산여성고용포럼 _ _ _ _ 부산여성고용포럼 주제 부산 청년여성 노동시장 현황과 취업지원 과제 발표 부산 청년여성 노동시장 현황과 취업지원 과제 패널 토론 곽선화 교수 김행미 센터장 성우일 팀장 전미현 대표 일시   월  장소 부산시청 층 국제회의장 신청 코드 활용 및 유선 신청 문의처 사회형 부산광역시 여성회관
146,수영구청 산모ㆍ신생아 건강관리사 양성과정 사회형 부산광역시 수영구청
147,특강 구직자 레벨업 취업특강개별 맞춤형 특강 사회형 부산경제진흥원
148,서부산 기계부품산업 일자리센터 원스톱 면접 프로그램 현실형 부산경제진흥원
149,동부산 미니잡페어 백스코빌라쥬 드 아난티 오픈 룸메이드 채용 현실형 부산광역시 수영구청
150,지역특화형 비자 시범사업 설명회 진취형 부산광역시
151,한국표준협회 온라인 코딩 무료 교육생 모집 진취형 한국표준협회
152,연제구 스마트폰 활용지도사 급 자격과정 진취형 부산광역시 연제구청
153,에코 재생종이 공예 클래스 예술형 부산광역시 연제구청
154,월 오픈클래스 비지니스 매너 마케팅 진취형 부산광역시 연제구청
155,부산중장년내일센터 월 프로그램 교육생 모집 사회형 노사발전재단
156,수영구청 창업특강 변리사가 알려주는 지식재산권 진취형 부산광역시 수영구청
157,온라인 판매자 창업마스터 과정 수강생 모집 동래구는 온라인 창업에 관심있고 온라인을 기반으로 창업을 희망하는 예비창업자 또는 초기창업자를 대상으로 아래와 같이 온라인 판매자 창업마스터 과정을 운영합니다  문의처 동래여성인력개발센터 동래구 일자리경제과 탐구형 부산광역시 동래구청
158,수영구청 세무사가 알려주는 예비창업자 절세 노하우 진취형 부산광역시 수영구청
159,마감관광마이스업 내일채움공제참여자 모집 ___    붙임 부산형 관광마이스업 내일채움공제 사업 신청서식 관습형 부산경제진흥원
